date,text,author,label,index
"July 28, 2021","""The coalition voted unanimously against my bill for full transparency in Facebook's blocking policy.
They have the media.
They have academia.
They have the prosecution.
To them the top.
And now they are a good video that, God forbid, there will be no transmission of information on the networks either.
Freedom of information is the biggest enemy of this coalition.
That we will not know
(Literally)""",גלית דיסטל אטבריאן - Galit Distel Atbaryan,FAKE,10
"July 27, 2021","""How the hell did they manage to destroy so quickly what Netanyahu did here.
From the most talked about country in the world as far as the success of Corona treatment is concerned, we arrived in just a few weeks at a country that is being warned about.
This failed, dangerous, sloppy and bullying government must disperse as quickly as possible. """,גלית דיסטל אטבריאן - Galit Distel Atbaryan,FAKE,11
"July 26, 2021","""The Mechanical Orange - The Eritrean Version.
Under the public and media radar, a shocking and brutal rape case took place last week of an Eritrean infiltrator who brutally assaulted an elderly woman in south Tel Aviv.
According to the police description, the suspect took a kettle that was at the scene, slapped the victim on the head and caused it to break in the eye sockets - and also bit her in the body while he raped her and held a knife to her neck.
Where are the left-wing MKs who always want to protect underprivileged women? silence! Where is the Minister of Public Security? silence! Tweeting about sexual harassment in the modeling world (an important but one of many topics), has time, but assaulting a woman in south Tel Aviv. What about him and that ?! It's from him onwards .. Diligent Monastery is diligent!
What about some instruction to set up an investigation team to investigate the failures of the rendering attempt? Maybe even send more police reinforcements to the southern Tel Aviv area so that the residents feel a little safer and can maybe sleep a little better at night?
is nothing! Zero response !! Zero actions, just like this terrible Norwegian government, will pass away as soon as possible.
Watch what I said today in the Knesset plenum """,מאי גולן - May Golan,FAKE,12
"July 15, 2021","49 - People of the Land of Israel - For!
61 - Members of the First Palestinian Government - Against!
The ""first Palestinian government,"" as Ahmad Tibi defined it, overthrew the basic immigration bill I submitted. The proposal is the only legal way that will make it possible through a few steps to preserve here a Jewish state with a solid Jewish majority for future generations.
✔️Immediately arrange and return all illegal infiltrators and their families to detention facilities until they are deported from Israel to their country of origin and / or to a third country, and detain anyone who objects to it indefinitely.
✔️Permanent ban on the immigration of illegal infiltrators and family reunification in Israel.
✔️Re-examination of all immigration permits issued to Arab Arabs and the Gaza Strip over the years.
Shortly before the government - unsurprisingly - the vote thief rejected the proposal that would once and for all set a clear and orderly immigration policy for Israel, Interior Minister Ayelet Shaked fled (as is customary in this group) the truth that she should have heard and sent Yoaz Handel instead to answer nonsense and clearly irrelevant arguments. . My remarks have, of course, been repeatedly interrupted by supporters of the joint terrorism and I have not had a chance to say the whole thing, but nonetheless, I will continue to fight with all my might for the advancement of the law. We will do this very soon from the coalition benches!
Of course you should not be surprised that you did not hear anything about the fake right that voted yesterday against the Basic Law on Immigration to Israel in most of the institutionalized media, but that's fine, for that we have (for now) the right to bring you the truth here on social media.
Ze'ev Jabotinsky recognized the great importance of the existence of a Jewish majority in the State of Israel and wrote in his article: """" A majority is the first intellectual of Zionism, giving it up is a renunciation of Zionism. ""
Watch what I said yesterday in the Knesset about the bill I submitted and fell by the people of Pike Yemin - in front of the entire people of Israel. """,מאי גולן - May Golan,FAKE,13
23-מאי-21,"""2,200 children were tested on the Pfizer vaccine, 1,100 received it and 1,100 did not
Based on this, they want to vaccinate thousands of children in Israel
And all this when there is no epidemic (yesterday 12 verified) there is no clinical epidemiological justification for vaccination and it is known that children are not contagious
And before you shout, I am in favor of vaccines and I vaccinated my home Ariel against the flu, but as long as there are no clear conclusions, it is a mistake. """,מירב בן ארי Merav Ben Ari,FAKE,14
23 אפר׳ 2021,"The murder of Sarah Alimi must not remain within the borders of France. Under Israeli law, an Israeli citizen can go to court for an antisemitic offense. I intend to use all the means available in the law so that this happens and so that the killer does not go around free one day in his life. My deepest sympathy is with her family, lovers and the Jewish community in France. On Sunday, a demonstration of solidarity in Israel as well.",אמילי - חיה מואטי Emilie Moatti,REAL,15
21 אפר׳ 2021,"""Not all of them flew over Herzl's vision of the Jewish state at the time. Absolutely not. In fact, the vision was considered absurd and Herzl was ridiculed and derided. But that did not stop him. And the rest is history.
But history is not over, and the vision still demands completion. That's why we're here.
Herzl's vision for the Jewish state, written in his book 125 years ago, is far from perfect. It lacks the word """" equality """" and the only times women are mentioned are pregnancy and childbirth ties, or as something that has to be ""given and taken"" for the future of the nation.
The State of Israel, which was established on the basis of the same vision, still lacks equality. Economic equality, social equality, civic equality, gender equality and equality as a basic premise for modern society. In 2021, after too many years of divisive and inciting rule, we are far and away from achieving equality. But why are visions intended if not to fulfill them?
Just as there were those who raised an eyebrow at Herzl's vision, so today there are those who raise an eyebrow at my vision, a vision of a state that is democratic, but no less so, a Jewish state, a state that seeks peace with its neighbors on the basis of agreements, and a state that sees citizenship and citizens Its sons and daughters with human life and desires and needs.
"""" We do not discriminate between people. We do not ask what a person's religion is, and what race he belongs to. He must be a human being and by that we say quite """", Herzl wrote in his later book """" Altneuland """". Herzl progressed between the ""Jewish State"" and this book, and we too will progress from this rule to a better one.
Visions are born out of crises, and today, my vision for the future of the country is more relevant than ever. Because in my vision, citizenship and citizens are the main thing, and not elected officials. In my vision, social services are strong and stable so that they can be used by those who are meant to be used - society. Discourse is a clean and fair discourse that represents truth and transparency, respect for our sons is a cornerstone and we see and see the woman and man before the sector, sector or group to which he or she belongs.
In my vision we are dealing - and dealing! - In the future of the girls and boys who will live here, while caring for the day-to-day needs of life itself, here and now.
""If you will, this is not a legend,"" he said. And now more than ever, if you will, we can do better here. All it takes is one, brave, step towards change.
If we want, it is neither a legend nor a dream, nor a fantasy nor an imagination, our ability to live in the state of Judaism and the Jews in security, equality and respect is possible. We just have to believe in it, want it and act for it.
This is what the Labor Party intends to continue to do. Come with me. Come now. Let's realize the vision. If you want no fairy tale.""",Merav Michaeli מרב מיכאלי,REAL,16
23.3.2021,"""Set up a straw party to cause a loss of votes of new hope.
Netanyahu is afraid only of the seats of New Hope and Gideon Saar.
This is the key to elections.
He will try to cheat and you will go and convince family and friends to put T on the ballot box, and pay attention to fakes. """,Yoaz Hendel יועז הנדל,FAKE,17
1.3.2021,"The High Court decision is scandalous, it will bring disaster on us! Everyone around the world will approach Rabbi Rapumi and receive permission to immigrate to Israel within 30 days. It is clear that in a short time, Israel will no longer be Jewish and democratic. Today, more than ever, the public must decide who will run the country, us or the High Court. Surprising that Torch applauds the decision?",Miki Zohar מיקי זוהר,FAKE,18
4.1.2021,"Contrary to what Oded Ben-Ami claimed, it is not at all new that Prime Minister Netanyahu cares about the Arab sector. Prime Minister Netanyahu brought NIS 15 billion to the Arab sector - 100 times more than any previous prime minister in Israel - in addition to four historic peace agreements with four Arab countries. When others speak, Prime Minister Netanyahu does!",הליכוד,FAKE,19
