Date Posted,Link,Text,Region,Username,Publisher,Binary Label,clean_text
2/19/20,https://twitter.com/IndiaToday/status/1230174768365617152,"Serum Institute of India recently announced that vaccine candidate COVID-19 is expected to progress to human trials phase within 6 months
(@Pkhelkar ) https://www.indiatoday.in/india/story/indian-company-serum-institute-india-pune-1st-develop-novel-coronavirus-vaccine-1648128-2020-02-19 ",India,indiatoday,IndiaToday,1,serum institute of india recently announce that vaccine candidate corona be expect to progress to human trials phase within 6 months pkhelkar
2/19/20,https://twitter.com/the_hindu/status/1230067023771774976,"Two Chinese crew members of a ship, which arrived from the COVID-19-hit China have been kept in isolation due to fever  https://trib.al/rBChlW9 ",India,the_hindu,The Hindu,1,two chinese crew members of a ship which arrive from the coronahit china have be keep in isolation due to fever
2/20/20,https://twitter.com/IndiaToday/status/1230438167934685184,"So far 621 cases of the virus, which has been named COVID-19, have been confirmed among the the Diamond Princess's original 3,711 people on board.
 https://www.indiatoday.in/world/story/2-more-russians-aboard-cruise-ship-diagnosed-with-virus-1648324-2020-02-20 ",India,indiatoday,IndiaToday,1,so far 621 case of the virus which have be name corona have be confirm among the the diamond princesss original 3711 people on board
2/20/20,https://twitter.com/the_hindu/status/1230484794095669248,#COVID-19 | So far #SouthKorea has reported a total of 82 cases of the virus. https://trib.al/VdqmdGK ,India,the_hindu,The Hindu,1,corona | so far southkorea have report a total of 82 case of the virus
2/20/20,https://twitter.com/the_hindu/status/1230609333676802049,There has also been a drop in airfares to countries like Thailand in wake of the spread of COVID-19 #Coronavirus https://trib.al/jBlDnH2 ,India,the_hindu,The Hindu,1,there have also be a drop in airfares to countries like thailand in wake of the spread of corona corona
2/23/20,https://twitter.com/the_hindu/status/1231707841481801728,"#COVID19 | The final results of the parliamentary election are due on Sunday, two days after it was held on the heels of the confirmation of COVID-19 cases in the country. #IranElection https://trib.al/A7Fn9rc ",India,the_hindu,The Hindu,1,corona | the final result of the parliamentary election be due on sunday two days after it be hold on the heel of the confirmation of corona case in the country iranelection
2/23/20,https://twitter.com/the_hindu/status/1231446083735150592,"The recent COVID-19 scare brought to the fore the importance of coordination among States. From smuggling of goods to dumping of medical waste, the issues are many, and need careful handling, by several State governments acting in concert.
 http://bit.ly/2PiE4k7 ",India,the_hindu,The Hindu,1,the recent corona scare bring to the fore the importance of coordination among state from smuggle of goods to dump of medical waste the issue be many and need careful handle by several state governments act in concert httpbitly2pie4k7
2/24/20,https://twitter.com/the_hindu/status/1231924246819069952,"#Racism | The attack was over COVID-19 outbreak. A spokeswoman of Birmingham Chinese Society said: ""There has always been abuse. The virus has given some individuals a reason for that abuse. #COVID19 https://trib.al/CANj6oZ ",India,the_hindu,The Hindu,1,racism | the attack be over corona outbreak a spokeswoman of birmingham chinese society say there have always be abuse the virus have give some individuals a reason for that abuse corona
2/25/20,https://twitter.com/IndiaToday/status/1232194571682996225,"The World Health Organization has named the illness COVID-19, referring to its origin late last year and the #coronavirus that causes it. https://www.indiatoday.in/world/story/epidemic-vs-pandemic-glossary-of-terms-for-virus-outbreak-1649745-2020-02-25 ",India,indiatoday,IndiaToday,1,the world health organization have name the illness corona refer to its origin late last year and the corona that cause it
2/26/20,https://twitter.com/BBCNews/status/1232569132773707777,Could North Korea handle a Covid-19 outbreak?  https://bbc.in/2Tiren1 ,Europe,bbcnews,BBC News (UK),1,could north korea handle a corona outbreak
2/27/20,https://twitter.com/the_hindu/status/1232880535803813890,Coronavirus | India on Wednesday sent a heavy lift military transport aircraft to the COVID-19-hit #Wuhan in #China. http://bit.ly/382fqL6 ,India,the_hindu,The Hindu,1,corona | india on wednesday send a heavy lift military transport aircraft to the coronahit wuhan in china httpbitly382fql6
2/28/20,https://twitter.com/CDCgov/status/1233486735578976257,CDC does not currently recommend the general public use facemasks or respirators for #COVID19. This 2017 @NIOSH graphic is intended for workers who wear tight-fitting respirators. Learn about COVID-19 and #PPE:  https://go.usa.gov/xddKA  https://twitter.com/NIOSH/status/1233465410017730560 ,United States,cdcgov,CDC,1,cdc do not currently recommend the general public use facemasks or respirators for corona this 2017 niosh graphic be intend for workers who wear tightfitting respirators learn about corona and ppe
2/28/20,https://twitter.com/IndiaToday/status/1233405975547260928,"Her statement comes at a time when the fast-spreading Covid-19 virus has disrupted global markets.
#coronavirus https://www.indiatoday.in/business/story/no-need-to-press-panic-button-because-of-coronovirus-epidemic-fm-nirmala-sitharaman-1650973-2020-02-28 ",India,indiatoday,IndiaToday,1,her statement come at a time when the fastspreading corona virus have disrupt global market corona
2/28/20,https://twitter.com/the_hindu/status/1233474491617030146,"""We have now increased our assessment of the risk of spread and the risk of impact of COVID-19 to very high at global level, says WHO chief Tedros Adhanom Ghebreyesus 
 https://trib.al/B5O9Zxq ",India,the_hindu,The Hindu,1,we have now increase our assessment of the risk of spread and the risk of impact of corona to very high at global level say who chief tedros adhanom ghebreyesus
2/28/20,https://twitter.com/the_hindu/status/1233373811233476608,"This is not the first time that letters about COVID-19 or SARS-CoV-2 virus published in peer-reviewed journals has had a problem
 https://trib.al/ARCqTiG ",India,the_hindu,The Hindu,1,this be not the first time that letter about corona or sarscov2 virus publish in peerreviewed journals have have a problem
2/29/20,https://twitter.com/CDCgov/status/1233891883195211780,"Reports of community spread of #COVID19 in California, Oregon & Washington raise concern about the immediate threat for COVID-19 for certain communities in the US. However, most people in the U.S. have little immediate risk of exposure to the virus.  https://bit.ly/32ANNYD ",United States,cdcgov,CDC,1,report of community spread of corona in california oregon washington raise concern about the immediate threat for corona for certain communities in the us however most people in the us have little immediate risk of exposure to the virus
2/29/20,https://twitter.com/CDCgov/status/1233891884742868992,Some people in the US will be at increased risk of #COVID19 depending on their exposures. The greatest risk is to those who are in close contact with people with COVID-19. People with suspected or confirmed exposure should reach out to their healthcare provider.,United States,cdcgov,CDC,1,some people in the us will be at increase risk of corona depend on their exposures the greatest risk be to those who be in close contact with people with corona people with suspect or confirm exposure should reach out to their healthcare provider
2/29/20,https://twitter.com/guardiannews/status/1233894932240269322,NHS plans to deploy 'Dad's Army' of retired doctors if Covid-19 spreads  https://www.theguardian.com/world/2020/feb/29/nhs-dads-army-plan-for-coronavirus-spread-pandemic-strategy?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583015164 ,Europe,guardiannews,Guardian news,1,nhs plan to deploy dads army of retire doctor if corona spread
2/29/20,https://twitter.com/IndiaToday/status/1233772660204527616,"India admirably stepped up to the task of arresting the spread of COVID-19. Yet all the measures it took were immediate and short term. Is India equipped to deal with a Wuhan-sized epidemic?  
#IndiaTodayMagazine https://www.indiatoday.in/magazine/the-big-story/story/20200309-are-we-ready-1650476-2020-02-28 ",India,indiatoday,IndiaToday,1,india admirably step up to the task of arrest the spread of corona yet all the measure it take be immediate and short term be india equip to deal with a wuhansized epidemic indiatodaymagazine
2/29/20,https://twitter.com/the_hindu/status/1233565081901858817,"""We have now increased our assessment of the risk of spread and the risk of impact of COVID-19 to very high at global level, says WHO chief Tedros Adhanom Ghebreyesus 
 https://trib.al/NnOobD8 ",India,the_hindu,The Hindu,1,we have now increase our assessment of the risk of spread and the risk of impact of corona to very high at global level say who chief tedros adhanom ghebreyesus
2/29/20,https://twitter.com/the_hindu/status/1233833642763276288,Just in: #Trump bans travel to #US from #Iran; urges Americans not to travel to areas in #Italy and #SouthKorea hit by COVID-19.,India,the_hindu,The Hindu,1,just in trump ban travel to us from iran urge americans not to travel to areas in italy and southkorea hit by corona
03/01/2020,https://twitter.com/guardiannews/status/1234106174364057601,Matt Hancock says Covid-19 outbreak could force UK to shut down cities  video  https://www.theguardian.com/world/video/2020/mar/01/matt-hancock-says-covid-19-outbreak-could-force-uk-to-shut-down-cities-video?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583067848 ,Europe,guardiannews,Guardian news,1,matt hancock say corona outbreak could force uk to shut down cities  video
03/01/2020,https://twitter.com/IndiaToday/status/1234179114778513413,"Kerala Chief Minister Pinarayi Vijayan on Sunday sought intervention of External Affairs Ministry to ensure safe return of the Indian fishermen trapped in Covid-19 infected Iran.
 https://www.indiatoday.in/india/story/kerala-cm-pinarayi-vijayan-writes-to-jaishankar-seeks-evacuation-of-stranded-kerala-fishermen-from-iran-1651413-2020-03-01 ",India,indiatoday,IndiaToday,1,kerala chief minister pinarayi vijayan on sunday seek intervention of external affairs ministry to ensure safe return of the indian fishermen trap in corona infect iran
03/02/2020,https://twitter.com/IndiaToday/status/1234483123909537792,"#Coronavirus | 24-year-old techie from Bengaluru tests positive for Covid-19 in Hyderabad, around 80 people he had interacted with are being placed under watch.
(@Ashi_IndiaToday) https://www.indiatoday.in/india/story/coronavirus-covid-19-india-case-update-bengaluru-techie-hyderabad-bus-1651702-2020-03-02 ",India,indiatoday,IndiaToday,1,corona | 24yearold techie from bengaluru test positive for corona in hyderabad around 80 people he have interact with be be place under watch ashiindiatoday
03/02/2020,https://twitter.com/the_hindu/status/1234475956338921472,"Sensex closed 153.27 points lower at 38,144.02 on Monday as detection of fresh COVID-19 cases in India spooked domestic investors.
#Sensex #Coronavirus #COVID-19
 https://trib.al/CpfntoO ",India,the_hindu,The Hindu,1,sensex close 15327 point lower at 3814402 on monday as detection of fresh corona case in india spook domestic investors sensex corona corona
03/02/2020,https://twitter.com/the_hindu/status/1234420890592366593,#COVID-19 #Iran has reported 978 confirmed cases of #coronavirus which has left 24 people dead in the country http://bit.ly/2TvDUHp ,India,the_hindu,The Hindu,1,corona iran have report 978 confirm case of corona which have leave 24 people dead in the country httpbitly2tvduhp
03/02/2020,https://twitter.com/the_hindu/status/1234424099461427201,"#COVID-19 We have already started contact tracing for family and office members of the two new cases that have detected positive today (Monday), says Health Minister",India,the_hindu,The Hindu,1,corona we have already start contact trace for family and office members of the two new case that have detect positive today monday say health minister
03/02/2020,https://twitter.com/the_hindu/status/1234481497786048514,Just in | A 24 year old man from #Hyderabad who works at a software company tested positive for #COVID 19.,India,the_hindu,The Hindu,1,just in | a 24 year old man from hyderabad who work at a software company test positive for covid 19
03/02/2020,https://twitter.com/washingtonpost/status/1234602753147666433,"Public health officials say the novel coronavirus is less deadly than SARS. But epidemiologists are still trying to determine exactly how deadly covid-19 is.

About 2 percent of reported cases have been fatal, but experts say the death rate could be lower.  https://wapo.st/2vvZbZu ",United States,washingtonpost,The Washington Post,1,public health officials say the novel corona be less deadly than sars but epidemiologists be still try to determine exactly how deadly corona be about 2 percent of report case have be fatal but experts say the death rate could be lower
03/02/2020,https://twitter.com/washingtonpost/status/1234603855301705730,"Covid-19 spreads more easily than SARS and is similar to other coronaviruses that cause cold-like symptoms. It appears to be highly transmissible, and since cases are mild, the disease may be more widespread than current testing numbers suggest.  https://wapo.st/2VHWxKX ",United States,washingtonpost,The Washington Post,1,corona spread more easily than sars and be similar to other coronaes that cause coldlike symptoms it appear to be highly transmissible and since case be mild the disease may be more widespread than current test number suggest
03/03/2020,https://twitter.com/guardiannews/status/1234963911872479238,Thousands of intensive care patients to be tested for Covid-19  https://www.theguardian.com/world/2020/mar/03/thousands-of-intensive-care-patients-to-be-tested-for-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583271691 ,Europe,guardiannews,Guardian news,1,thousands of intensive care patients to be test for corona
03/03/2020,https://twitter.com/IndiaToday/status/1234686802948050945,"New diagnoses in several states pushed the tally of #COVID-19 cases past 100, and New Hampshire reported its first case, raising the total of affected states to 11. 
#Coronavirus #UnitedStates https://www.indiatoday.in/world/story/coronavirus-outbreak-us-testing-virus-spreading-america-1651812-2020-03-03 ",India,indiatoday,IndiaToday,1,new diagnose in several state push the tally of corona case past 100 and new hampshire report its first case raise the total of affect state to 11 corona unitedstates
03/03/2020,https://twitter.com/IndiaToday/status/1234717001857171456,"According to the WHO, there are 89,527 confirmed COVID-19 cases and 3,056 deaths reported globally in 67 countries.
#coronavirus #world https://www.indiatoday.in/world/story/coronavirus-death-toll-china-1651862-2020-03-03 ",India,indiatoday,IndiaToday,1,accord to the who there be 89527 confirm corona case and 3056 deaths report globally in 67 countries corona world
03/03/2020,https://twitter.com/IndiaToday/status/1234828556925947905,"Worldwide 1952 new COVID-19 cases reported on Tuesday, bringing the total number of cases in the country to 92,275. 
#DIU
(Report: @DipuJourno) pic.twitter.com/9eXzPPsFYH",India,indiatoday,IndiaToday,1,worldwide 1952 new corona case report on tuesday bring the total number of case in the country to 92275 diu report dipujourno
03/03/2020,https://twitter.com/the_hindu/status/1234718899222065152,"An #Italian tourist, who landed here on February 29, was tested positive for COVID-19 in his second medical examination

#coronavirus http://bit.ly/3cpBkLN ",India,the_hindu,The Hindu,1,an italian tourist who land here on february 29 be test positive for corona in his second medical examination corona httpbitly3cpbkln
03/04/2020,https://twitter.com/guardiannews/status/1235091886722908160,Majority of retired NHS staff don't want to return to tackle Covid-19 crisis  https://www.theguardian.com/world/2020/mar/04/majority-of-retired-nhs-staff-dont-want-to-return-to-tackle-covid-19-crisis?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583303719 ,Europe,guardiannews,Guardian news,1,majority of retire nhs staff dont want to return to tackle corona crisis
03/04/2020,https://twitter.com/IndiaToday/status/1235089265521864704,"#Coronavirus | Can mask really protect you from Covid-19? Read here to know.
(@ganeshkumarRU7) https://www.indiatoday.in/india/story/coronavirus-in-india-masks-1652257-2020-03-04 ",India,indiatoday,IndiaToday,1,corona | can mask really protect you from corona read here to know ganeshkumarru7
03/04/2020,https://twitter.com/IndiaToday/status/1235102263540101120,"#Hyderabad: 45 of the 47 collected samples test negative. Listen in to @Ashi_IndiaToday for more details.
#ITVideo #Coronavirus #Covid_19 pic.twitter.com/zhyLVm2neS",India,indiatoday,IndiaToday,1,hyderabad 45 of the 47 collect sample test negative listen in to ashiindiatoday for more detail itvideo corona corona
03/04/2020,https://twitter.com/IndiaToday/status/1235137352420536321,"How prepared is #Delhi government to battle #coronavirus outbreak? 
@PoojaShali shares the information. 
#ITVideo #Covid_19 #CoronaAlert pic.twitter.com/sb8XIQDq08",India,indiatoday,IndiaToday,1,how prepare be delhi government to battle corona outbreak poojashali share the information itvideo corona coronaalert
03/04/2020,https://twitter.com/IndiaToday/status/1235061380954411018,"#Coronavirus #Covid_19 | Thermal screening at various airports in #India. 
@AishPaliwal from #Delhi's IGI and #shalinilobo 93 from #Chennai airport report LIVE. #ITVideo pic.twitter.com/zxa3tPPaiC",India,indiatoday,IndiaToday,1,corona corona | thermal screen at various airports in india aishpaliwal from delhis igi and shalinilobo 93 from chennai airport report live itvideo
03/04/2020,https://twitter.com/IndiaToday/status/1235136655872454656,"#Coronavirus: Is there a need to panic? Here's what Dr. Rodrico Ofrin of WHO has to say.
#ITVideo #Covid_19 #CoronaAlert | @AishPaliwal pic.twitter.com/eKQrRDGWKu",India,indiatoday,IndiaToday,1,corona be there a need to panic heres what dr rodrico ofrin of who have to say itvideo corona coronaalert | aishpaliwal
03/04/2020,https://twitter.com/IndiaToday/status/1235136064249122817,#Delhi CM Arvind Kejriwal says currently two labs are in #Delhi to test the virus. #ITVideo #Covid_19 #coronavirus pic.twitter.com/grbhlZaEaO,India,indiatoday,IndiaToday,1,delhi cm arvind kejriwal say currently two labs be in delhi to test the virus itvideo corona corona
03/04/2020,https://twitter.com/IndiaToday/status/1235077020159225856,"#Coronavirus | What is Covid-19? How it spreads? 
#ITVideo #Covid_19 pic.twitter.com/6IzYFFVLkm",India,indiatoday,IndiaToday,1,corona | what be corona how it spread itvideo corona
03/04/2020,https://twitter.com/IndiaToday/status/1235150944020697090,"Rahul Gandhi should be screened for #coronavirus, says BJP minister
#ITVideo #Covid_19 pic.twitter.com/ytzUZmHw4z",India,indiatoday,IndiaToday,1,rahul gandhi should be screen for corona say bjp minister itvideo corona
03/04/2020,https://twitter.com/IndiaToday/status/1235107584463589376,#Coronavirus: Screening takes place on airports. India Today's @PoojaShali shares the latest about #Covid_19. #ITVideo pic.twitter.com/dDxFtUNbOr,India,indiatoday,IndiaToday,1,corona screen take place on airports india todays poojashali share the latest about corona itvideo
03/04/2020,https://twitter.com/IndiaToday/status/1235090833101201408,Health Minister review meeting to take place today. #Coronavirus remains prime focus.  #ITVideo #Covid_19 pic.twitter.com/a7uTvimYPy,India,indiatoday,IndiaToday,1,health minister review meet to take place today corona remain prime focus itvideo corona
03/04/2020,https://twitter.com/IndiaToday/status/1235116196716072960,"After PM Modi, Union Minister @AmitShah also plans to skip #Holi events. #ITVideo #Covid_19 #Coronavirus | @PoulomiMSaha pic.twitter.com/ERayq0wXer",India,indiatoday,IndiaToday,1,after pm modi union minister amitshah also plan to skip holi events itvideo corona corona | poulomimsaha
03/04/2020,https://twitter.com/the_hindu/status/1235175659296747522,"Watch | With new cases of COVID-19 being confirmed in India, the Health Ministry has stepped up efforts to check the spread of the virus. Here's a list of dos and dont's released by the Health Ministry.

#CoronaAlert
#coronavirus http://bit.ly/39oxe4y ",India,the_hindu,The Hindu,1,watch | with new case of corona be confirm in india the health ministry have step up efforts to check the spread of the virus heres a list of do and donts release by the health ministry coronaalert corona httpbitly39oxe4y
03/04/2020,https://twitter.com/the_hindu/status/1235101493075660800,"Live | 15 Italian tourists and one Indian driver have tested positive for COVID19. They were part of the same group as an Italian couple tested positive for COVID-19 in #Rajasthan
 http://bit.ly/2VGtmYM ",India,the_hindu,The Hindu,1,live | 15 italian tourists and one indian driver have test positive for corona they be part of the same group as an italian couple test positive for corona in rajasthan httpbitly2vgtmym
03/05/2020,https://twitter.com/CDCgov/status/1235565826473955328,"#HCPs: The COCA Call today at 2 pm ET will also be available on COCA's Facebook profile via Facebook Live! Topic: ""What Clinicians Need to Know to Prepare for COVID-19 in the U.S. Learn more about the event at  https://bit.ly/2TDhwfd . pic.twitter.com/WF1up6kz5k",United States,cdcgov,CDC,1,hcps the coca call today at 2 pm et will also be available on cocas facebook profile via facebook live topic what clinicians need to know to prepare for corona in the us learn more about the event at
03/05/2020,https://twitter.com/IndiaToday/status/1235604699417624576,"The number of #Coronavirus cases in India climbed to 30 after a Ghaziabad man tested positive for Covid-19, who recently travelled to #Iran. Watch this report for a detailed understanding of this deadly virus. 
#InDepth with @Ankit_Tyagi01 :  https://bit.ly/2TBRb1c  pic.twitter.com/0wknOSatkY",India,indiatoday,IndiaToday,1,the number of corona case in india climb to 30 after a ghaziabad man test positive for corona who recently travel to iran watch this report for a detail understand of this deadly virus indepth with ankittyagi01
03/05/2020,https://twitter.com/IndiaToday/status/1235454898554232833,"Paytm employee tests positive for Covid-19.
Listen in to India Today's @AishPaliwal for more on this.
#Coronavirus #ITVideo pic.twitter.com/gueCa9FaZh",India,indiatoday,IndiaToday,1,paytm employee test positive for corona listen in to india todays aishpaliwal for more on this corona itvideo
03/05/2020,https://twitter.com/ndtv/status/1235445416969175040,"Watch | ""Regular surveillance initiated across the country for all cases having travel history from COVID-19 affected countries"": Union Health Minister Harsh Vardhan amid #coronavirus outbreak pic.twitter.com/SDNfETG2ia",India,ndtv,NDTV,1,watch | regular surveillance initiate across the country for all case have travel history from corona affect countries union health minister harsh vardhan amid corona outbreak
03/05/2020,https://twitter.com/the_hindu/status/1235556158619951104,"The rupee snapped its four-session losing run on Thursday to close 6 paise higher at 73.33 against the U.S. dollar amid hopes that efforts by countries and global agencies would offset financial damage from COVID-19 outbreak
#Rupee #COVID19 #Coronavirus
 https://trib.al/xOux50T ",India,the_hindu,The Hindu,1,the rupee snap its foursession lose run on thursday to close 6 paise higher at 7333 against the us dollar amid hop that efforts by countries and global agencies would offset financial damage from corona outbreak rupee corona corona
03/05/2020,https://twitter.com/the_hindu/status/1235546052532396032,"An isolation ward containing 14 beds has been set up at NDMC-run Bara Hindurao Hospital in New Delhi for coronavirus (COVID-19) patients, North Delhi Mayor Avtar Singh said on Thursday.
#NDMC #Coronavirus #COVID19
 https://trib.al/UOd7ugv ",India,the_hindu,The Hindu,1,an isolation ward contain 14 bed have be set up at ndmcrun bara hindurao hospital in new delhi for corona corona patients north delhi mayor avtar singh say on thursday ndmc corona corona
03/05/2020,https://twitter.com/the_hindu/status/1235537181172813829,"Giving up most early gains, equity benchmark Sensex ended 61.13 points higher on Thursday as domestic investors weighed the impact of rising coronavirus cases in the country.
#Sensex #COVID-19 #Coronavirus
 https://trib.al/K9RxlNg ",India,the_hindu,The Hindu,1,give up most early gain equity benchmark sensex end 6113 point higher on thursday as domestic investors weigh the impact of rise corona case in the country sensex corona corona
03/05/2020,https://twitter.com/the_hindu/status/1235526255098892290,"Though the common man in Adilabad town has no reason to suspect the arrival of COVID-19 in Adilabad, there is a lot of buzz generated here, thanks to the attention that the social media has bestowed upon it.
#COVID19 #Coronavirus #Adilabad
 https://trib.al/HCME9Tc ",India,the_hindu,The Hindu,1,though the common man in adilabad town have no reason to suspect the arrival of corona in adilabad there be a lot of buzz generate here thank to the attention that the social media have bestow upon it corona corona adilabad
03/05/2020,https://twitter.com/the_hindu/status/1235457535588675584,"Letter provides detailed instructions on methods which will help to prevent the spread of not only COVID-19 but also other communicable diseases, particularly flu-like illnesses   https://trib.al/GLYJK4M 
#coronavirusinindia",India,the_hindu,The Hindu,1,letter provide detail instructions on methods which will help to prevent the spread of not only corona but also other communicable diseases particularly flulike illnesses coronainindia
03/05/2020,https://twitter.com/the_hindu/status/1235619272380080129,"Almost 300 million students worldwide faced weeks at home with Italy and India the latest to shut schools over COVID-19 outbreak
#COVID19 #Coronavirus #schools
 https://trib.al/aTQjYKv ",India,the_hindu,The Hindu,1,almost 300 million students worldwide face weeks at home with italy and india the latest to shut school over corona outbreak corona corona school
03/05/2020,https://twitter.com/washingtonpost/status/1235607016569294848,"A dog has a ""low-level"" coronavirus infection.

But don't panic about covid-19 in pets, experts say.  https://wapo.st/39pVjbb ",United States,washingtonpost,The Washington Post,1,a dog have a lowlevel corona infection but dont panic about corona in pet experts say
03/05/2020,https://twitter.com/washingtonpost/status/1235594422538170368,"Two more people hospitalized with covid-19 in New York City.

Live updates:  https://wapo.st/2vHT9VJ ",United States,washingtonpost,The Washington Post,1,two more people hospitalize with corona in new york city live update
03/06/2020,https://twitter.com/guardiannews/status/1236022264577101825,GPs told to switch to digital consultations to combat Covid-19  https://www.theguardian.com/world/2020/mar/06/gps-told-to-switch-to-remote-consultations-to-combat-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583524553 ,Europe,guardiannews,Guardian news,1,gps tell to switch to digital consultations to combat corona
03/06/2020,https://twitter.com/guardiannews/status/1236037975307403264,Don't touch your face!': website watches you to help you avoid Covid-19  https://www.theguardian.com/world/2020/mar/06/dont-touch-your-face-website-tracks-you-to-help-you-avoid-covid-19?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1583526560 ,Europe,guardiannews,Guardian news,1,dont touch your face website watch you to help you avoid corona
03/06/2020,https://twitter.com/IndiaToday/status/1235788544062324737,"As world battles Covid-19, WHO says no time for excuses
#coronavirus https://www.indiatoday.in/world/story/coronavirus-who-chief-calls-for-global-action-1652943-2020-03-06 ",India,indiatoday,IndiaToday,1,as world battle corona who say no time for excuse corona
03/06/2020,https://twitter.com/IndiaToday/status/1235787141973753856,"""This is a critical moment in the growing outbreak of COVID-19 in King County,"" the county said in a statement. #coronavirus https://www.indiatoday.in/world/story/coronavirus-cases-surge-us-helicopter-flies-test-kits-cruise-ship-1652925-2020-03-06 ",India,indiatoday,IndiaToday,1,this be a critical moment in the grow outbreak of corona in king county the county say in a statement corona
03/06/2020,https://twitter.com/ReutersUK/status/1235994203223715840,"$2 billion needed to develop COVID-19 shot, says epidemic response group  https://reut.rs/2PSEeii  pic.twitter.com/pZulEhlgMF",Europe,reutersuk,Reuters UK,1,2 billion need to develop corona shoot say epidemic response group
03/06/2020,https://twitter.com/the_hindu/status/1235729312508067840,"Amid reports of the COVID-19 outbreak in China affecting the Indian pharma industry, Union Chemicals and Fertilizers Minister Sadanand Gowda on Thursday said there is no shortage of active pharmaceutical ingredients.
 https://trib.al/l56xlTh 
#COVID19 #China #pharmaceuticals",India,the_hindu,The Hindu,1,amid report of the corona outbreak in china affect the indian pharma industry union chemicals and fertilizers minister sadanand gowda on thursday say there be no shortage of active pharmaceutical ingredients corona china pharmaceuticals
