person,job,label,theme,text,date,lemmatized_text
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה",2021-04-20,"ה ציבור החליט מי הרכיב את ה ממשלה , ו לאחר מ כן אפשר היה הפיל את היא ב אי אמון קונסטרוקטיבי . עשה את זה ב הרבה מדינה , כלל אירופה"
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות",2021-04-18,"כמות נכה צהל הלך ו גידל עם ה שנה , למרות ש ה מלחמה הלך ו פחת"
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת,2021-04-17,עד ה יום ב כול ה 70 שנה היה יושב ראש כ נס אחת
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת,2021-04-07,אכן התבקש יצא מ ה מליאה . ב ה פרוטוקול אסור הכניס תינוק ל מליאה הכנסה
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים",2021-03-29,"לפי משרד ה בריאות , איכון שבכ מנע 210 מתים ו 30 אלף חלה מקורונה ב ה חודש ה אחרון"
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות,2021-03-23,הקים מפלגה קש כדי גרם ל אובדן קול של תקווה חדש . נתניהו פיחד רק מ ה מנדט של תקווה חדש ... הוא ניסה ל רמה
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!",2021-03-15,"אוכלוסייה יהודה ו שומרון הכפיל את עצמו ב ה עשור ה אחרון . חרף כול ה קושי , הוא הכפיל !"
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם",2021-03-10,"כש נתניהו מינה את אני ל ה אוצר התקרב ל 10 אבטלה , ו ה תחזית היה ש כמו ספרד , יוון ו איטליה הגיע גם ל 25 . ב פחות משנה הורד את ה אבטלה ל ה מינימום לפני כולם"
בנימין נתניהו,ראש הממשלה הליכוד,4,על המקום שבו ביקר בסיור בחירות בדרום,ראש הממשלה נתניהו ברהט,2021-03-07,ראש ה ממשלה נתניהו ב רהט
נפתלי בנט,"יו""ר ימינה ימינה",0,על התשלום השנתי למובטלים,אם תהפוך את המס בישראל למאוד נמוך [...] לא נבזבז 18 מיליארד שקל על דמי אבטלה כי לא יהיו כמעט מובטלים,2021-03-07,אם הפך את ה מס ב ישראל ל מאוד נמוך ... לא בזבז 18 מיליארד שקל על דם אבטלה כי לא היה כמעט מובטל
אלי כהן,שר המודיעין הליכוד,3,על פתיחת החקירה בעניין ישראל בבית הדין הפלילי הבינלאומי,בית הדין קובע שגם הבנייה בירושלים היא עבירה,2021-03-06,בית ה דין קבע ש גם ה בנייה ב ירושלים הוא עביר
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על פסיקת בג""ץ לגבי גיור רפורמי בישראל","אחרי החלטת בגץ, כל אדם בעולם ייגש לרב רפורמי ויקבל אישור עלייה תוך 30 יום",2021-03-01,"אחרי החלטה בגץ , כול אדם ב ה עולם ניגש ל רב רפורמי ו קיבל אישור עלייה תוך 30 יום"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על תעסוקת חרדים,"אם החרדים יעבדו המדינה תרוויח 20 מיליארד שקל בשנה, שבהם אפשר להוסיף 20 בתיח, 2,000 רופאים, להגדיל פי 10 את קצבת הזקנה",2021-02-18,"אם ה חרדי עיבד ה מדינה הרוויח 20 מיליארד שקל ב שנה , ש ב הם אפשר הוסיף 20 בתיח , 2,000 רופא , הגדיל פי 10 את קצבה ה זקנה"
מרב מיכאלי,"יו""ר העבודה העבודה",4,על תוצאות המדיניות הכלכלית של נתניהו,הפערים בין עניים לעשירים בישראל בתקופת נתניהו הם הגבוהים אי פעם. העוני בתקופת נתניהו גדול מבכל תקופה אחרת,2021-02-16,ה פער בין עני ל עשיר בישראל ב תקופה נתניהו הוא ה גבוה אי פעם . ה עוני ב תקופה נתניהו גדול מ בכל תקף אחרת
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",0,על טורניר הג'ודו שישראל מארחת,600 אנשים שנכנסים ללא בידוד [...] כשעוד מאוגוסט דרשתי שיהיו בדיקות לכל מי שנכנס לישראל,2021-02-15,600 איש ש נכנס ללא בידוד ... כש עוד מאוגוסט דרש ש יהיה בדיקה ל כול מי ש נכנס ל ה ישראל
יריב לוין,שר התיירות הליכוד,2,על גל ההתפטרויות בכנסת ה-23,"זה דבר שלא היה כדוגמתו: למעלה מ-20 חכים באים והולכים, חלק לא מבוטל נבחרו במפלגות אווירה או עברו אליהן",2021-02-03,"זה דבר ש לא היה כדוגמתו למעלה מ 20 חך בא ו הלך , חלק לא מבוטל נבחר ב מפלגה אווירה או עבר אל"
זאב אלקין,מועמד לכנסת תקווה חדשה,3,על מינוי צמרת הליכוד לתפקידים בכירים בממשלה,"״המשמעות של דמוקרטיה ליכודית נעלמה. זה לא רק גדעון סער, זה כל העשירייה הפותחת. בעבר תמיד מי שזכה בראשות [המפלגה] הציע למפסיד תפקיד בכיר״",2021-02-03,"ה משמעות של דמוקרטיה ל ה יכודית נעלם . זה לא רק גדעון סער , זה כול ה עשירייה ה פתח . ב ה עבר תמיד מי ש זכה ב ראשות ה מפלגה הציע ל ה הפסיד תפקיד בכיר"
נפתלי בנט,"יו""ר ימינה ימינה",4,על ההצדקה לתוכנית הפחתת המס של ימינה,"עד 2003 סינגפור דמתה לישראל בתמג לנפש. מאז רפורמות להפחתת מס, ייעול המגזר הציבורי ופתיחת שווקים, תושביה התעשרו כמעט פי 2 מאיתנו",2021-02-01,"עד 2003 סינגפור דמה ל ה ישראל בתמג ל נפש . מ אז רפורמה ל הפחתה מס , ייעול ה מגזר ה ציבורי ו פתיחה שוק , תושב התעשר כמעט פי 2 מאת אנחנו"
אמיר אוחנה,השר לבטחון פנים הליכוד,3,על הפשיעה בחברה הערבית,20% מהאוכלוסייה מחוללת 60% מהפשיעה,2021-01-30,20 מ ה אוכלוסייה חולל 60 מ ה פשיעה
מרב מיכאלי,"יו""ר העבודה העבודה",2,על השוויון המגדרי ברשימת העבודה,"גבר-אישה-אישה-גבר לסירוגין, כל הרשימה: פעם ראשונה במדינת ישראל",2021-01-29,"גבר איש אייש גבר לסירוגין , כול ה רשימה פיעם ראשונה ב מדינה ישראל"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על הנטל הכלכלי של החינוך החרדי,כל הקצבאות הילדים וכל התמיכות בישיבות וקצבאות לאברכים זה 7 מיליארד שקל,2021-01-26,כול ה קצבה ה ילד ו כול ה תמיכה ב ה ישיבה ו קצבה ל אברך זה 7 מיליארד שקל
יואב קיש,סגן שר הבריאות הליכוד,3,על כניסה לישראל ללא בדיקת קורונה,"הבעיה היא דווקא אי-שמירת הבידוד. מעל 50%, אולי 70% מהתחלואה מתגלה בתקופת הבידוד",2021-01-26,"ה בעיה הוא דווקא אי שמירה ה בידוד . מעל 50 , אולי 70 מ ה תחלואה התגלה ב תקופה ה בידוד"
עאידה תומא סלימאן,חברת כנסת הרשימה המשותפת,4,על התמיכה בציבור הערבי בהחרמת ההלוויה של פרס,"בבחירות אחרי הלוויית פרס שוב הייתה ירידה בייצוג המפלגות הציוניות באוכלוסייה הערבית, ועלייה בייצוג הרשימה המשותפת",2021-01-19,"ב ה בחירה אחרי הלוויה פרס שוב היה ירידה ב ייצוג ה מפלגה ה ציוני ב ה אוכלוסייה ה ערבי , ו עלייה ב ייצוג ה רשימה ה משותף"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על הצביעות הפוליטית של הליכוד,"כשהגשתי הצח לריבונות בבקעה, נתניהו והליכוד הצביעו נגד עם הרשימה המשותפת",2021-01-18,"כש הגיש הצח ל ה ריבונות ב ה בקעה , נתניהו ו ה ליכוד הצביע נגד עם ה רשימה ה משותף"
יובל שטייניץ,שר האנרגיה הליכוד,2,על התגובות לגילוי מוטציית הקורונה הבריטית,הרבה מדינות אירופיות אמרו גם לאזרחים שלהן: מי שבבריטניה שיישאר כמה שבועות עד שיתבהר המצב,2021-01-18,הרבה מדינה אירופי אמר גם ל ה אזרח של הן מי ש ב בריטניה ש נשאר כמה שבוע עד ש התבהר ה מצב
יובל שטייניץ,שר האנרגיה הליכוד,3,על מבצע החיסון נגד קורונה,מדינת ישראל היא המדינה הראשונה בעולם שכבר הבטיחה לעצמה מנות חיסון לכל אזרחיה,2021-01-13,מדינה ישראל הוא ה מדינה ה ראשון ב ה עולם ש כבר הבטיח ל עצמו מנה חיסון ל כול אזרח
יואב גלנט,שר החינוך הליכוד,5,על הצמיחה בישראל,התוצר לנפש במדינת ישראל עלה פי 2 בעשור האחרון,2021-01-11,ה תוצר ל נפש ב מדינה ישראל עלה פי 2 ב ה עשור ה אחרון
ניצן הורוביץ,"יו""ר מרצ מרצ",5,על הייצוג השוויוני במרצ,אנחנו המפלגה הראשונה בתולדות ישראל שמציבה שני מועמדים ערבים בחמישייה הראשונה,2021-01-07,הוא ה מפלגה ה ראשון ב תולדה ישראל ש הציב שניים מועמד ערבי ב ה חמישייה ה ראשון
הליכוד,מפלגה,4,על התוכנית לפיתוח כלכלי בחברה הערבית,נתניהו הביא 15 מיליארד שקל למגזר הערבי - פי 100 יותר מכל ראש ממשלה קודם בישראל,2021-01-04,נתניהו הביא 15 מיליארד שקל ל ה מגזר ה ערבי פי 100 יותר מ כול ראש מ משל היא קודם ב ה ישראל
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",2,על דפוסי ההצבעה של הציבור הערבי,"נָתַנּוּ לברק 98% מהקולות שלנו לראשות הממשלה, הפנה אלינו עורף - ואתה יודע מה קיבלנו",2021-01-03,"נ ת נ ו ל ברק 98 מ ה קול ש לן ל ראשות ה ממשלה , הפנה אל אנחנו עורף ו הוא ידע מה קיבל"
ירון זליכה,"יו""ר המפלגה ""הכלכלית""",0,על הישגיו כחשב הכללי באוצר,התקופה שאני כיהנתי באוצר הייתה תקופת הצמיחה הכי ארוכה והכי חזקה בישראל,2021-01-02,ה תקופה ש הוא כיהן ב ה אוצר היה תקופה ה צמיחה הכי ארוך ו הכי חיזק ב ה ישראל
איילת שקד,חברת כנסת ימינה,2,על הצניחה בתוצר בגלל הקורונה,"לראשונה בהיסטוריה התוצר של ישראל יורד. לא [כשהיתה] אינפלציה, לא במלחמת יום כיפור - היום!",2020-12-31,"לראשונה ב ה היסטוריה ה תוצר של ישראל הורד . לא כש היה אינפלציה , לא ב מלחמה יום כיפור ה יום !"
אלי אבידר,חבר כנסת ישראל ביתנו,4,על הישגי נתניהו בבחירות האחרונות,בשלוש מערכות הבחירות האחרונות נתניהו כל פעם יורד. המצב הכי טוב שלו היה בסבב הראשון,2020-12-23,ב שלוש מערכה ה בחירה ה אחרון נתניהו כול פעם יורד . ה מצב הכי טוב של הוא היה ב ה סבב ה ראשון
אמיר אוחנה,השר לבטחון פנים הליכוד,2,על השפעת נתניהו על מערכת המשפט,"העליון קבע שזה תקין שרמ עם כתב אישום יקבע מי יהיה שר המשפטים, ומי יקבע מי יהיו השופטים",2020-12-19,"ה עליון קבע ש זה תקין שרמ עם כתב אישום קיבע מי היה שר ה משפט , ו מי קיבע מי היה ה שופט"
איציק שמולי,שר העבודה והרווחה העבודה,3,על הישגיו במשרד הרווחה,"בזמן שאין תקציב הכפלתי את מספר המפקחים [במעונות] פי שישה. היו רק 20, היום יש 120",2020-12-17,"ב ה זמן ש אין תקציב ה כפל את מספר ה מפקח ב מעון פה שישה . היה רק 20 , ה יום יש 120"
צחי הנגבי,השר לענייני התיישבות הליכוד,5,על הסיוע הממשלתי במגפת הקורונה,כ-150 מיליארד שקל הופנו למענקים לבעלי עסקים. זה מה שהמדינה הקצתה,2020-12-17,כ 150 מיליארד שקל הופנה ל ה מענק ל בעל עסק . זה מה ש ה מדינה ה קצת
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על לימודי הליבה של תלמידים חרדים,"הילדים החרדים פשוט לוקחים מהם עתיד. הם לא לומדים לימודי ליבה לא מתמטיקה, לא אנגלית",2020-12-16,"ה ילד ה חרד פשוט לקח מ הוא עתיד . הוא לא למד לימוד ליבה לא מתמטיקה , לא אנגלי"
מירי רגב,שרת התחבורה הליכוד,5,על ההכנות לחיסון מפני קורונה,"גרמניה - אין לה את החיסונים! ראש הממשלה הימר נכון, והביא את החיסונים",2020-12-12,"גרמני אין ל היא את ה חיסון ! ראש ה ממשלה הימר נכון , ו הביא את ה חיסון"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על התמותה מקורונה בישראל,תשווה כמה מתים למיליון איש בקפריסין וכמה אצלנו. אצלנו דומני פי 40,2020-12-06,שיווה כמה מת ל מיליון איש ב קפריסין ו כמה אצל אנחנו . אצל אנחנו נדמה פי 40
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על הכוח האלקטורלי שלו ושל בני גנץ,"במערכת הבחירות הראשונה והשנייה שנינו היינו על הפתק כמועמדים משותפים, והיה 35 מנדטים. דווקא הירידה הייתה כשירדתי מהפתק",2020-12-05,"ב מערכה ה בחירה ה ראשון ו ה שנייה ש נין היה על ה פתק כ מועמד משותף , ו היה 35 מנדט . דווקא ה ירידה היה כש ירד מ ה פתק"
רם שפע,חבר כנסת כחול לבן,4,על כללי אישור תקציב המדינה,נסביר: ממשלה אמורה כל שנה לסגור מראש את התקציב. מה שהיינו אמורים לסגור בתחילת 21' זה תקציב 22',2020-12-02,הסביר ממשלה אמור כול שנה סגר מראש את ה תקציב . מה ש היה אמור סגר ב תחילה 21 זה הקציב 22
קטי שטרית,חברת כנסת הליכוד,4,על החלטות ועדת השרים לחקיקה,"הגשתי 19 הצעות חוק - אחת לא עברה. אבל כשהאופוזיציה מגישה, מיד זה עולה",2020-12-01,"הגיש 19 הצעה חוק אחת לא עיבר . אבל כש ה אופוזיציה הגיש , מייד זה עלה"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על סגירת בתי הספר בשל הקורונה,אנחנו המדינה היחידה - אנחנו ובנגלדש - [שבה] ממרץ ילדים לא היו בבית ספר,2020-11-30,הוא ה מדינה ה יחיד הוא ו בנגלדש ש ב היא מ מרץ ילד לא היה ב בית ספר
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על נסיעת נתניהו לערב הסעודית,רהמ נוסע לערב הסעודית ולא מעדכן - בניגוד לחוק שקובע שכשהוא עוזב את ישראל הוא ימנה ממ. כשהוא הלך לניתוחון בישראל מינו ממ,2020-11-26,רהמ נסע ל ה ערב ה סעודי ו לא עדכן בניגוד ל ה חוק ש קובע ש כש הוא עזב את ישראל הוא מינה ממ . כש הוא הילך ל ניתוחון ב ישראל מינה ממ
מירי רגב,שרת התחבורה הליכוד,5,על הגדרת סעודיה ובחריין כמדינות ירוקות לקורונה,"מי שקובע מי המדינות הירוקות זה לא אנחנו, אלא הארגון הרפואי הבינלאומי",2020-11-24,"מי ש קובע מים ה מדינה ה ירוק זה לא הוא , אלא ה ארגון ה רפואי ה בינלאומי"
עמיר פרץ,שר הכלכלה העבודה,4,על מצב העבודה בסקרי הבחירות,"העבודה הייתה גם הייתה בשפל כזה.
אחרי שברק... היא לא עברה בסקרים את אחוז החסימה",2020-11-23,"העבודה הייתה גם הייתה בשפל כזה.
אחרי שברק... היא לא עברה בסקרים את אחוז החסימה"
יולי אדלשטיין,שר הבריאות הליכוד,5,על חוק שיחייב התחסנות מפני קורונה,למיטב ידיעתי אין אף מדינה דמוקרטית שבה יש חוק חיסון חובה,2020-11-22,ל מיטב ידיעה אין אף מדינה דמוקרטי ש ב היא יש חוק חיסון חובה
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",5,על הקריטריונים להקלת הגבלות הקורונה,"כשהתחילו לצאת מהסגר השני יצרו את מקדם ההדבקה, הכוכב החדש בשיח שהוא מקדם הפחדה להכשרת המגבלות הבאות",2020-11-19,"כש התחייל יצא מ ה סגר ה שני יצר את מקדם ה הדבקה , ה כוכב ה חדש ב ה שיח ש הוא קידם הפחדה ל הכשרה ה מגבלה ה בא"
"ישראל כ""ץ",שר האוצר הליכוד,3,על ביטול המכס ביבוא חמאה,"הביקוש [לחמאה] גדל, אבל לא רק מהיבוא. גם התוצרת המקומית נמכרה יותר מאשר קודם",2020-11-18,"ה ביקוש ל חמאה גדל , אבל לא רק מ ה ייבוא . גם ה תוצרת ה מקומי נמכר יותר מאשר קודם"
יואב גלנט,שר החינוך הליכוד,5,"על כך שבתיה""ס לא אשמים בגל הקורונה",בסוף אוגוסט היו במדינת ישראל כמיליון חולים - 15% מהאוכלוסייה לפי הבדיקות,2020-11-15,ב סוף אוגוסט היה ב מדינה ישראל כ מיליון חולה 15 מ ה אוכלוסייה לפי ה בדיקה
בנימין נתניהו,ראש הממשלה הליכוד,4,על היציבות הפיננסית של ישראל,"S&P משאירה את דירוג האשראי של ישראל ברמתו הגבוהה בזמן משבר הקורונה, בשעה שהיא הורידה אותו למדינות מפותחות",2020-11-14,"מש אייר את דירוג ה אשראי של ישראל ב רמה ה גבוה ב זמן משבר ה קורונה , ב שעה ש הוא הוריד את הוא ל מדינה מפותח"
שלמה קרעי,חבר כנסת הליכוד,3,על השפעת ההצמדה של שכר בכירים לשכר הממוצע,"יש קרוב לאלף בכירים [כאלה] במגזר הציבורי, שמקבלים שני מיליארד שקלים בשנה",2020-11-05,"יש קרוב אילף בכיר כ ה אלה ב ה מגזר ה ציבורי , ש קיבל שניים מיליארד שקל ב ה שנה"
גדעון סער,חבר כנסת הליכוד,3,על ההצדקה לבחירות אזוריות לכנסת,"יש תת-ייצוג לאזורים שלמים בישראל בדגש על פריפריה, או האזורים היותר-מרוחקים מהמרכז. ויש ייצוג-יתר למרכז",2020-11-03,"יש תת ייצוג ל ה אזור ש ל ה מים ב ישראל ב ה דגש על פריפריה , או ה אזור ה יותר מרוחק מ ה מרכז . ו יש ייצוג יתר ל ה מרכז"
רפי פרץ,שר לירושלים ומורשת הבית היהודי,2,על מצוקת המלונות בירושלים,"85% מהתיירים בירושלים זרים, והתפוסה ירדה ל-3%. יש בעיר 17 אלף חדרים, פי 1.5 יותר מאילת, ויותר מכל שאר הארץ יחד",2020-11-02,"85 מ ה תייר ב ירושלים זר , ו ה תפוסה ירד ל 3 . יש ב ה עיר 17 אלף חדר , פי 1.5 יותר מ אילה , ו יותר מ כול שאר ה ארץ יחד"
אורלי לוי-אבקסיס,השרה לחיזוק וקידום קהילתי סיעת יחיד,3,על הצדקת קיומו של המשרד שלה,יש מדינות שכבר יש להן משרדי קהילות. אפילו באבו-דאבי יש שר לענייני קהילה,2020-10-26,יש מדינה ש כבר יש ל הן משרד קהילה . אפילו ב ה אבו דאב יש שר ל עניין קהילה
זאב אלקין,מועמד לכנסת תקווה חדשה,0,על הצורך בסיוע דיפרנציאלי לסטודנטים,20% מהסטודנטים מגיעים מסוציו-אקונומי 10-9,2020-10-22,20 מ ה סטודנט הגיע מ סוציו אקונומי 10 9
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",3,"על המידע שהוצג לקבינט הקורונה לקראת החזרת בתיה""ס לפעילות",לא היה פילוח לגילאים. אנחנו יודעים בוודאות שילדים עד גיל 10-9 נדבקים ממש מעט ומדביקים ממש מעט,2020-10-22,לא היה פילוח ל ה גילאי . הוא ידע ב ודאות ש ילד עד גיל 10 9 נדבק ממש מעט ו הדביק ממש מעט
יולי אדלשטיין,שר הבריאות הליכוד,5,על ירידת הליכוד בסקרים בזמן הקורונה,אין כרגע מדינה עם ממשלה פופולרית שזוכה להרבה מאוד אמון הציבור,2020-10-19,אין כרגע מדינה עם ממשלה פופולרי ש זוכה ל הרבה מאוד אמון ה ציבור
סמי אבו שחאדה,חבר כנסת הרשימה המשותפת,3,על ההסכם עם איחוד האמירויות,בטקסט בערבית לא מופיעות המילה 'נורמליזציה' וההקדמה שבה מוזכר הסכסוך הישראלי-פלסטיני,2020-10-15,ב ה טקסט ב ה ערבית לא הופיע ה מילה נורמליזציה ו ה הקדמה ש ב היא הוזכר ה סכסוך ה ישראלי פלסטיני
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על האפשרות לפטר את היועץ המשפטי לממשלה,מי שצריך לדאוג לפיטוריו [של מנדלבליט] או לאשר אותם זה שר המשפטים אבי ניסנקורן,2020-10-14,מי ש צריך דאג ל פיטור של מנדלבליט או אישר את הם זה שר ה משפט אבי ניסנקורן
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על הדרך למנוע התפשטות קורונה,ארגון הבריאות העולמי פרסם שסגר זה לא יעיל ושהם ממליצים למדינות לא להשתמש בסגרים,2020-10-13,ארגון ה בריאות ה עולמי פרסם ש סגר זה לא יעיל ו ש הוא המליץ ל ה מדינה לא השתמש ב ה סגר
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על העיכוב באישור התקציב בישראל,תעבור על רשימת מדינות OECD. כמעט כולן כבר אישרו תקציב ל-2021,2020-10-12,עבר על רשימה מדינה . כמעט כול כבר אישר תקציב ל 2021
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על אפליה לרעה של מחאות מימין,"אחרי שנים של הגבלת הפגנות ימין מול בית רהמ, יומיים הפגנות שמאל - והופ! בגץ מבטל את ההגבלות",2020-10-04,"אחרי שנה של הגבלה הפגנה ימין מול בית רהמ , יומי הפגנה שמאל ו ה ופ ! ב גץ ביטל את ה הגבלה"
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על המחאה נגד מכירת נשק ישראלי לאזרים,אנחנו סוחרים עם אזרבייג'ן במיליארדי דולרים בשנה בנפט ועוד תחומים. הנשק לא חריג,2020-10-04,הוא סחר עם אזרבייג ן ב מיליארד דולר ב שנה ב ה נפט ו עוד תחם . ה נשק לא חריג
גילה גמליאל,השרה להגנת הסביבה הליכוד,3,על הנפקת החברה לאיכות הסביבה,זוהי הנפקת המיעוט הראשונה של חברה ממשלתית בישראל,2020-10-01,זהו הנפקה ה מיעוט ה ראשון של חבר ממשלתי ב ישראל
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הגשת הנחיות הקורונה לציבור,בכל מקום בעולם לקחו איש מקצוע שקט שיסביר לאזרחים כל יום את הנחיות הקורונה,2020-09-22,ב כול מקום ב ה עולם לקח איש מקצוע שקט ש הסביר ל ה אזרח כול יום את הנחיה ה קורונה
אמיר אוחנה,השר לבטחון פנים הליכוד,1,על הגבלת הפגנות בסגר הקורונה,"בשבדיה אסורה התקהלות של יותר מ-50 איש לכל מטרה, גם להפגנה",2020-09-21,"ב שוודיה אסר התקהלות של יותר מ 50 איש ל כול מטרה , גם ל הפגנה"
